Date,Timestamp,ISO8601,Elevation (meter),Vertical Accuracy (meter),Cumulative Distance (meter),GPS Segment,Since start (second)
07:43:48.000,1781160228.000,2026-06-11T07:43:48.000+0100,9.703,0.690,183.562,1,56.765
07:43:49.000,1781160229.000,2026-06-11T07:43:49.000+0100,9.691,0.690,186.859,1,57.765
07:43:50.000,1781160230.000,2026-06-11T07:43:50.000+0100,9.680,0.690,190.214,1,58.765
07:43:51.000,1781160231.000,2026-06-11T07:43:51.000+0100,9.668,0.690,193.594,1,59.765
07:43:52.000,1781160232.000,2026-06-11T07:43:52.000+0100,9.655,0.690,197.031,1,60.765
07:43:53.000,1781160233.000,2026-06-11T07:43:53.000+0100,9.642,0.690,200.469,1,61.765
07:43:54.000,1781160234.000,2026-06-11T07:43:54.000+0100,9.630,0.690,203.634,1,62.765
07:43:55.000,1781160235.000,2026-06-11T07:43:55.000+0100,9.620,0.690,206.712,1,63.765
07:43:56.000,1781160236.000,2026-06-11T07:43:56.000+0100,9.612,0.690,209.768,1,64.765
07:43:57.000,1781160237.000,2026-06-11T07:43:57.000+0100,9.607,0.690,212.742,1,65.765
07:43:58.000,1781160238.000,2026-06-11T07:43:58.000+0100,9.606,0.690,215.716,1,66.765
07:43:59.000,1781160239.000,2026-06-11T07:43:59.000+0100,9.606,0.690,218.688,1,67.765
07:44:00.000,1781160240.000,2026-06-11T07:44:00.000+0100,9.608,0.690,221.659,1,68.765
07:44:01.000,1781160241.000,2026-06-11T07:44:01.000+0100,9.611,0.690,224.719,1,69.765
07:44:02.000,1781160242.000,2026-06-11T07:44:02.000+0100,9.616,0.690,228.476,1,70.765
07:44:03.000,1781160243.000,2026-06-11T07:44:03.000+0100,9.621,0.690,232.233,1,71.765
07:44:04.000,1781160244.000,2026-06-11T07:44:04.000+0100,9.627,0.690,235.802,1,72.765
07:44:05.000,1781160245.000,2026-06-11T07:44:05.000+0100,9.633,0.690,239.228,1,73.765
07:44:06.000,1781160246.000,2026-06-11T07:44:06.000+0100,9.639,0.690,242.656,1,74.765
07:44:07.000,1781160247.000,2026-06-11T07:44:07.000+0100,9.644,0.690,246.187,1,75.765
07:44:08.000,1781160248.000,2026-06-11T07:44:08.000+0100,9.649,0.690,249.718,1,76.765
07:44:09.000,1781160249.000,2026-06-11T07:44:09.000+0100,9.653,0.690,253.243,1,77.765
07:44:10.000,1781160250.000,2026-06-11T07:44:10.000+0100,9.657,0.690,256.762,1,78.765
07:44:11.000,1781160251.000,2026-06-11T07:44:11.000+0100,9.659,0.690,260.281,1,79.765
07:44:12.000,1781160252.000,2026-06-11T07:44:12.000+0100,9.661,0.690,263.459,1,80.765
07:44:13.000,1781160253.000,2026-06-11T07:44:13.000+0100,9.661,0.690,266.609,1,81.765
07:44:14.000,1781160254.000,2026-06-11T07:44:14.000+0100,9.660,0.690,269.659,1,82.765
07:44:15.000,1781160255.000,2026-06-11T07:44:15.000+0100,9.657,0.690,272.543,1,83.765
07:44:16.000,1781160256.000,2026-06-11T07:44:16.000+0100,9.655,0.690,275.428,1,84.765
07:44:17.000,1781160257.000,2026-06-11T07:44:17.000+0100,9.653,0.690,278.907,1,85.765
07:44:18.000,1781160258.000,2026-06-11T07:44:18.000+0100,9.652,0.690,282.508,1,86.765
07:44:19.000,1781160259.000,2026-06-11T07:44:19.000+0100,9.652,0.690,286.069,1,87.765
07:44:20.000,1781160260.000,2026-06-11T07:44:20.000+0100,9.654,0.690,289.533,1,88.765
07:44:21.000,1781160261.000,2026-06-11T07:44:21.000+0100,9.657,0.690,292.996,1,89.765
07:44:22.000,1781160262.000,2026-06-11T07:44:22.000+0100,9.660,0.690,296.361,1,90.765
07:44:23.000,1781160263.000,2026-06-11T07:44:23.000+0100,9.664,0.690,299.692,1,91.765
07:44:24.000,1781160264.000,2026-06-11T07:44:24.000+0100,9.668,0.690,303.004,1,92.765
07:44:25.000,1781160265.000,2026-06-11T07:44:25.000+0100,9.673,0.690,306.240,1,93.765
07:44:26.000,1781160266.000,2026-06-11T07:44:26.000+0100,9.678,0.690,309.475,1,94.765
07:44:27.000,1781160267.000,2026-06-11T07:44:27.000+0100,9.682,0.690,312.866,1,95.765
07:44:28.000,1781160268.000,2026-06-11T07:44:28.000+0100,9.686,0.690,316.345,1,96.765
07:44:29.000,1781160269.000,2026-06-11T07:44:29.000+0100,9.690,0.690,319.813,1,97.765
07:44:30.000,1781160270.000,2026-06-11T07:44:30.000+0100,9.694,0.690,323.184,1,98.765
07:44:31.000,1781160271.000,2026-06-11T07:44:31.000+0100,9.697,0.690,326.556,1,99.765
07:44:32.000,1781160272.000,2026-06-11T07:44:32.000+0100,9.701,0.690,329.981,1,100.765
07:44:33.000,1781160273.000,2026-06-11T07:44:33.000+0100,9.706,0.690,333.451,1,101.765
07:44:34.000,1781160274.000,2026-06-11T07:44:34.000+0100,9.713,0.690,336.921,1,102.765
07:44:35.000,1781160275.000,2026-06-11T07:44:35.000+0100,9.721,0.690,339.692,1,103.765
07:44:36.000,1781160276.000,2026-06-11T07:44:36.000+0100,9.730,0.690,342.463,1,104.765
07:44:37.000,1781160277.000,2026-06-11T07:44:37.000+0100,9.740,0.690,345.676,1,105.765
07:44:38.000,1781160278.000,2026-06-11T07:44:38.000+0100,9.750,0.690,349.418,1,106.765
07:44:38.999,1781160278.999,2026-06-11T07:44:38.999+0100,9.761,0.690,353.161,1,107.765
07:44:39.999,1781160279.999,2026-06-11T07:44:39.999+0100,9.770,0.690,356.527,1,108.765
07:44:40.999,1781160280.999,2026-06-11T07:44:40.999+0100,9.778,0.690,359.854,1,109.765
07:44:41.999,1781160281.999,2026-06-11T07:44:41.999+0100,9.782,0.690,363.095,1,110.765
07:44:42.999,1781160282.999,2026-06-11T07:44:42.999+0100,9.784,0.690,366.182,1,111.765
07:44:43.999,1781160283.999,2026-06-11T07:44:43.999+0100,9.782,0.690,369.269,1,112.765
07:44:44.999,1781160284.999,2026-06-11T07:44:44.999+0100,9.776,0.690,373.175,1,113.765
07:44:45.999,1781160285.999,2026-06-11T07:44:45.999+0100,9.768,0.690,377.270,1,114.765
07:44:46.999,1781160286.999,2026-06-11T07:44:46.999+0100,9.759,0.690,381.235,1,115.765
07:44:47.999,1781160287.999,2026-06-11T07:44:47.999+0100,9.749,0.690,384.838,1,116.765
07:44:48.999,1781160288.999,2026-06-11T07:44:48.999+0100,9.740,0.690,388.442,1,117.765
07:44:49.999,1781160289.999,2026-06-11T07:44:49.999+0100,9.733,0.690,391.826,1,118.765
07:44:50.999,1781160290.999,2026-06-11T07:44:50.999+0100,9.728,0.690,395.123,1,119.765
07:44:51.999,1781160291.999,2026-06-11T07:44:51.999+0100,9.725,0.690,398.451,1,120.765
07:44:53.000,1781160293.000,2026-06-11T07:44:53.000+0100,9.723,0.690,401.928,1,121.765
07:44:53.999,1781160293.999,2026-06-11T07:44:53.999+0100,9.721,0.690,405.405,1,122.765
07:44:54.999,1781160294.999,2026-06-11T07:44:54.999+0100,9.719,0.690,408.894,1,123.765
07:44:55.999,1781160295.999,2026-06-11T07:44:55.999+0100,9.716,0.690,412.390,1,124.765
07:44:57.000,1781160297.000,2026-06-11T07:44:57.000+0100,9.712,0.690,415.828,1,125.765
07:44:58.000,1781160298.000,2026-06-11T07:44:58.000+0100,9.707,0.690,418.582,1,126.765
07:44:59.000,1781160299.000,2026-06-11T07:44:59.000+0100,9.701,0.690,421.335,1,127.765
07:45:00.000,1781160300.000,2026-06-11T07:45:00.000+0100,9.694,0.690,424.404,1,128.765
07:45:01.000,1781160301.000,2026-06-11T07:45:01.000+0100,9.688,0.690,427.752,1,129.765
07:45:02.000,1781160302.000,2026-06-11T07:45:02.000+0100,9.681,0.690,431.101,1,130.765
07:45:03.000,1781160303.000,2026-06-11T07:45:03.000+0100,9.673,0.690,434.610,1,131.765
07:45:04.000,1781160304.000,2026-06-11T07:45:04.000+0100,9.665,0.690,438.121,1,132.765
07:45:05.000,1781160305.000,2026-06-11T07:45:05.000+0100,9.654,0.690,441.501,1,133.765
07:45:06.000,1781160306.000,2026-06-11T07:45:06.000+0100,9.643,0.690,444.713,1,134.765
07:45:07.000,1781160307.000,2026-06-11T07:45:07.000+0100,9.629,0.690,447.924,1,135.765
07:45:08.000,1781160308.000,2026-06-11T07:45:08.000+0100,9.613,0.690,451.954,1,136.765
07:45:09.000,1781160309.000,2026-06-11T07:45:09.000+0100,9.595,0.690,456.086,1,137.765
07:45:10.000,1781160310.000,2026-06-11T07:45:10.000+0100,9.577,0.690,460.061,1,138.765
07:45:11.000,1781160311.000,2026-06-11T07:45:11.000+0100,9.559,0.690,463.732,1,139.765
07:45:12.000,1781160312.000,2026-06-11T07:45:12.000+0100,9.542,0.690,467.402,1,140.765
07:45:13.000,1781160313.000,2026-06-11T07:45:13.000+0100,9.525,0.690,470.994,1,141.765
07:45:14.000,1781160314.000,2026-06-11T07:45:14.000+0100,9.509,0.690,474.565,1,142.765
07:45:15.000,1781160315.000,2026-06-11T07:45:15.000+0100,9.493,0.690,478.099,1,143.765
07:45:16.000,1781160316.000,2026-06-11T07:45:16.000+0100,9.476,0.690,481.517,1,144.765
07:45:17.000,1781160317.000,2026-06-11T07:45:17.000+0100,9.457,0.690,484.935,1,145.765
07:45:18.000,1781160318.000,2026-06-11T07:45:18.000+0100,9.435,0.690,488.463,1,146.765
07:45:19.000,1781160319.000,2026-06-11T07:45:19.000+0100,9.410,0.690,492.039,1,147.765
07:45:20.000,1781160320.000,2026-06-11T07:45:20.000+0100,9.381,0.690,495.475,1,148.765
07:45:21.000,1781160321.000,2026-06-11T07:45:21.000+0100,9.349,0.690,498.138,1,149.765
07:45:22.000,1781160322.000,2026-06-11T07:45:22.000+0100,9.313,0.690,500.801,1,150.765
07:45:23.000,1781160323.000,2026-06-11T07:45:23.000+0100,9.275,0.690,504.313,1,151.765
07:45:24.000,1781160324.000,2026-06-11T07:45:24.000+0100,9.235,0.690,508.374,1,152.765
07:45:25.000,1781160325.000,2026-06-11T07:45:25.000+0100,9.194,0.690,512.396,1,153.765
07:45:26.000,1781160326.000,2026-06-11T07:45:26.000+0100,9.153,0.690,515.807,1,154.765
07:45:27.000,1781160327.000,2026-06-11T07:45:27.000+0100,9.114,0.690,519.217,1,155.765
07:45:28.000,1781160328.000,2026-06-11T07:45:28.000+0100,9.076,0.690,522.733,1,156.765
07:45:29.000,1781160329.000,2026-06-11T07:45:29.000+0100,9.040,0.690,526.348,1,157.765
07:45:30.000,1781160330.000,2026-06-11T07:45:30.000+0100,9.006,0.690,529.964,1,158.765
07:45:31.000,1781160331.000,2026-06-11T07:45:31.000+0100,8.976,0.690,533.619,1,159.765
07:45:32.000,1781160332.000,2026-06-11T07:45:32.000+0100,8.948,0.690,537.276,1,160.765
07:45:33.000,1781160333.000,2026-06-11T07:45:33.000+0100,8.923,0.690,540.860,1,161.765
07:45:34.000,1781160334.000,2026-06-11T07:45:34.000+0100,8.900,0.690,544.346,1,162.765
07:45:35.000,1781160335.000,2026-06-11T07:45:35.000+0100,8.879,0.690,547.832,1,163.765
07:45:36.000,1781160336.000,2026-06-11T07:45:36.000+0100,8.860,0.690,550.707,1,164.765
07:45:37.000,1781160337.000,2026-06-11T07:45:37.000+0100,8.841,0.690,553.493,1,165.765
07:45:38.000,1781160338.000,2026-06-11T07:45:38.000+0100,8.824,0.690,556.126,1,166.765
07:45:39.000,1781160339.000,2026-06-11T07:45:39.000+0100,8.808,0.690,558.440,1,167.765
07:45:40.000,1781160340.000,2026-06-11T07:45:40.000+0100,8.792,0.690,560.754,1,168.765
07:45:40.999,1781160340.999,2026-06-11T07:45:40.999+0100,8.778,0.690,562.852,1,169.765
07:45:41.999,1781160341.999,2026-06-11T07:45:41.999+0100,8.764,0.690,564.888,1,170.765
07:45:42.999,1781160342.999,2026-06-11T07:45:42.999+0100,8.751,0.690,567.112,1,171.765
07:45:43.999,1781160343.999,2026-06-11T07:45:43.999+0100,8.738,0.690,569.959,1,172.765
07:45:44.999,1781160344.999,2026-06-11T07:45:44.999+0100,8.726,0.690,572.807,1,173.765
07:45:45.999,1781160345.999,2026-06-11T07:45:45.999+0100,8.716,0.690,575.066,1,174.765
07:45:46.999,1781160346.999,2026-06-11T07:45:46.999+0100,8.709,0.690,577.052,1,175.765
07:45:47.999,1781160347.999,2026-06-11T07:45:47.999+0100,8.706,0.690,579.245,1,176.765
07:45:48.999,1781160348.999,2026-06-11T07:45:48.999+0100,8.708,0.690,582.748,1,177.765
07:45:49.999,1781160349.999,2026-06-11T07:45:49.999+0100,8.715,0.690,586.250,1,178.765
07:45:50.999,1781160350.999,2026-06-11T07:45:50.999+0100,8.727,0.690,589.632,1,179.765
07:45:51.999,1781160351.999,2026-06-11T07:45:51.999+0100,8.741,0.690,592.929,1,180.765
07:45:52.999,1781160352.999,2026-06-11T07:45:52.999+0100,8.759,0.690,596.203,1,181.765
07:45:53.999,1781160353.999,2026-06-11T07:45:53.999+0100,8.778,0.690,598.966,1,182.765
07:45:54.999,1781160354.999,2026-06-11T07:45:54.999+0100,8.797,0.690,601.729,1,183.765
07:45:55.999,1781160355.999,2026-06-11T07:45:55.999+0100,8.815,0.690,604.526,1,184.765
07:45:56.999,1781160356.999,2026-06-11T07:45:56.999+0100,8.832,0.690,607.356,1,185.765
07:45:57.999,1781160357.999,2026-06-11T07:45:57.999+0100,8.848,0.690,610.186,1,186.765
07:45:58.999,1781160358.999,2026-06-11T07:45:58.999+0100,8.864,0.690,612.775,1,187.765
07:45:59.999,1781160359.999,2026-06-11T07:45:59.999+0100,8.879,0.690,615.351,1,188.765
07:46:00.999,1781160360.999,2026-06-11T07:46:00.999+0100,8.895,0.690,618.420,1,189.765
07:46:01.999,1781160361.999,2026-06-11T07:46:01.999+0100,8.910,0.690,622.225,1,190.765
07:46:02.999,1781160362.999,2026-06-11T07:46:02.999+0100,8.926,0.690,626.030,1,191.765
07:46:03.999,1781160363.999,2026-06-11T07:46:03.999+0100,8.942,0.690,629.596,1,192.765
07:46:04.999,1781160364.999,2026-06-11T07:46:04.999+0100,8.956,0.690,633.123,1,193.765
07:46:05.999,1781160365.999,2026-06-11T07:46:05.999+0100,8.967,0.690,636.525,1,194.765
07:46:06.999,1781160366.999,2026-06-11T07:46:06.999+0100,8.975,0.690,639.649,1,195.765
07:46:07.999,1781160367.999,2026-06-11T07:46:07.999+0100,8.978,0.690,642.773,1,196.765
07:46:08.999,1781160368.999,2026-06-11T07:46:08.999+0100,8.977,0.690,646.124,1,197.765
07:46:09.999,1781160369.999,2026-06-11T07:46:09.999+0100,8.971,0.690,649.547,1,198.765
07:46:10.999,1781160370.999,2026-06-11T07:46:10.999+0100,8.962,0.690,652.939,1,199.765
07:46:11.999,1781160371.999,2026-06-11T07:46:11.999+0100,8.951,0.690,656.218,1,200.765
07:46:12.999,1781160372.999,2026-06-11T07:46:12.999+0100,8.938,0.690,659.498,1,201.765
07:46:13.999,1781160373.999,2026-06-11T07:46:13.999+0100,8.923,0.690,662.689,1,202.765
07:46:14.999,1781160374.999,2026-06-11T07:46:14.999+0100,8.908,0.690,665.836,1,203.765
07:46:15.999,1781160375.999,2026-06-11T07:46:15.999+0100,8.891,0.690,668.984,1,204.765
07:46:16.999,1781160376.999,2026-06-11T07:46:16.999+0100,8.872,0.690,672.141,1,205.765
07:46:17.999,1781160377.999,2026-06-11T07:46:17.999+0100,8.850,0.690,675.298,1,206.765
07:46:18.999,1781160378.999,2026-06-11T07:46:18.999+0100,8.825,0.690,678.251,1,207.765
07:46:19.999,1781160379.999,2026-06-11T07:46:19.999+0100,8.797,0.690,681.053,1,208.765
07:46:20.999,1781160380.999,2026-06-11T07:46:20.999+0100,8.764,0.690,683.851,1,209.765
07:46:21.999,1781160381.999,2026-06-11T07:46:21.999+0100,8.727,0.690,686.493,1,210.765
07:46:22.999,1781160382.999,2026-06-11T07:46:22.999+0100,8.686,0.690,689.136,1,211.765
07:46:23.999,1781160383.999,2026-06-11T07:46:23.999+0100,8.642,0.690,692.239,1,212.765
07:46:24.999,1781160384.999,2026-06-11T07:46:24.999+0100,8.594,0.690,695.844,1,213.765
07:46:25.999,1781160385.999,2026-06-11T07:46:25.999+0100,8.544,0.690,699.449,1,214.765
07:46:26.999,1781160386.999,2026-06-11T07:46:26.999+0100,8.492,0.690,703.076,1,215.765
07:46:27.999,1781160387.999,2026-06-11T07:46:27.999+0100,8.439,0.690,706.704,1,216.765
07:46:28.999,1781160388.999,2026-06-11T07:46:28.999+0100,8.385,0.690,710.298,1,217.765
07:46:29.999,1781160389.999,2026-06-11T07:46:29.999+0100,8.330,0.690,713.838,1,218.765
07:46:30.999,1781160390.999,2026-06-11T07:46:30.999+0100,8.275,0.690,717.378,1,219.765
07:46:31.999,1781160391.999,2026-06-11T07:46:31.999+0100,8.220,0.690,720.320,1,220.765
07:46:32.999,1781160392.999,2026-06-11T07:46:32.999+0100,8.165,0.690,723.146,1,221.765
07:46:33.999,1781160393.999,2026-06-11T07:46:33.999+0100,8.113,0.690,726.182,1,222.765
07:46:34.999,1781160394.999,2026-06-11T07:46:34.999+0100,8.065,0.690,729.724,1,223.765
07:46:35.999,1781160395.999,2026-06-11T07:46:35.999+0100,8.022,0.690,733.267,1,224.765
07:46:36.999,1781160396.999,2026-06-11T07:46:36.999+0100,7.986,0.690,736.839,1,225.765
07:46:37.999,1781160397.999,2026-06-11T07:46:37.999+0100,7.956,0.690,740.420,1,226.765
07:46:38.999,1781160398.999,2026-06-11T07:46:38.999+0100,7.935,0.690,743.770,1,227.765
07:46:39.999,1781160399.999,2026-06-11T07:46:39.999+0100,7.920,0.690,746.177,1,228.765
07:46:40.999,1781160400.999,2026-06-11T07:46:40.999+0100,7.912,0.690,748.583,1,229.765
07:46:41.999,1781160401.999,2026-06-11T07:46:41.999+0100,7.910,0.690,751.261,1,230.765
07:46:42.999,1781160402.999,2026-06-11T07:46:42.999+0100,7.911,0.690,754.084,1,231.765
07:46:43.999,1781160403.999,2026-06-11T07:46:43.999+0100,7.915,0.690,756.926,1,232.765
07:46:44.999,1781160404.999,2026-06-11T07:46:44.999+0100,7.922,0.690,759.935,1,233.765
07:46:45.999,1781160405.999,2026-06-11T07:46:45.999+0100,7.930,0.690,762.944,1,234.765
07:46:46.999,1781160406.999,2026-06-11T07:46:46.999+0100,7.941,0.690,766.187,1,235.765
07:46:47.999,1781160407.999,2026-06-11T07:46:47.999+0100,7.948,0.690,769.616,1,236.765
07:46:48.999,1781160408.999,2026-06-11T07:46:48.999+0100,7.951,0.690,773.048,1,237.765
07:46:49.999,1781160409.999,2026-06-11T07:46:49.999+0100,7.958,0.691,776.742,1,238.765
07:46:50.999,1781160410.999,2026-06-11T07:46:50.999+0100,7.969,0.693,780.435,1,239.765
07:46:51.999,1781160411.999,2026-06-11T07:46:51.999+0100,7.987,0.697,784.106,1,240.765
07:46:52.999,1781160412.999,2026-06-11T07:46:52.999+0100,8.008,0.704,787.749,1,241.765
07:46:53.999,1781160413.999,2026-06-11T07:46:53.999+0100,8.034,0.718,791.392,1,242.765
07:46:54.999,1781160414.999,2026-06-11T07:46:54.999+0100,8.071,0.739,794.959,1,243.765
07:46:55.999,1781160415.999,2026-06-11T07:46:55.999+0100,8.115,0.769,798.518,1,244.765
07:46:56.999,1781160416.999,2026-06-11T07:46:56.999+0100,8.160,0.802,802.305,1,245.765
07:46:57.999,1781160417.999,2026-06-11T07:46:57.999+0100,8.191,0.834,806.483,1,246.765
07:46:58.999,1781160418.999,2026-06-11T07:46:58.999+0100,8.195,0.860,810.661,1,247.765
07:46:59.999,1781160419.999,2026-06-11T07:46:59.999+0100,8.174,0.880,813.063,1,248.765
07:47:00.999,1781160420.999,2026-06-11T07:47:00.999+0100,8.127,0.893,815.079,1,249.765
07:47:01.999,1781160421.999,2026-06-11T07:47:01.999+0100,8.064,0.902,817.315,1,250.765
07:47:03.000,1781160423.000,2026-06-11T07:47:03.000+0100,7.999,0.907,820.130,1,251.765
07:47:04.000,1781160424.000,2026-06-11T07:47:04.000+0100,7.945,0.910,822.946,1,252.765
07:47:05.000,1781160425.000,2026-06-11T07:47:05.000+0100,7.906,0.912,826.538,1,253.765
07:47:06.000,1781160426.000,2026-06-11T07:47:06.000+0100,7.884,0.913,830.420,1,254.765
07:47:07.000,1781160427.000,2026-06-11T07:47:07.000+0100,7.889,0.913,834.171,1,255.765
07:47:08.000,1781160428.000,2026-06-11T07:47:08.000+0100,7.926,0.913,837.324,1,256.765
07:47:09.000,1781160429.000,2026-06-11T07:47:09.000+0100,7.999,0.913,840.478,1,257.765
07:47:10.000,1781160430.000,2026-06-11T07:47:10.000+0100,8.110,0.913,843.636,1,258.765
07:47:11.000,1781160431.000,2026-06-11T07:47:11.000+0100,8.253,0.913,846.796,1,259.765
07:47:12.000,1781160432.000,2026-06-11T07:47:12.000+0100,8.424,0.913,849.983,1,260.765
07:47:13.000,1781160433.000,2026-06-11T07:47:13.000+0100,8.610,0.913,853.456,1,261.765
07:47:14.000,1781160434.000,2026-06-11T07:47:14.000+0100,8.800,0.913,856.928,1,262.765
07:47:14.999,1781160434.999,2026-06-11T07:47:14.999+0100,8.983,0.913,860.348,1,263.765
07:47:15.999,1781160435.999,2026-06-11T07:47:15.999+0100,9.159,0.913,863.723,1,264.765
07:47:16.999,1781160436.999,2026-06-11T07:47:16.999+0100,9.315,0.913,867.097,1,265.765
07:47:17.999,1781160437.999,2026-06-11T07:47:17.999+0100,9.448,0.913,870.227,1,266.765
07:47:18.999,1781160438.999,2026-06-11T07:47:18.999+0100,9.545,0.913,873.355,1,267.765
07:47:19.999,1781160439.999,2026-06-11T07:47:19.999+0100,9.595,0.913,876.480,1,268.765
07:47:20.999,1781160440.999,2026-06-11T07:47:20.999+0100,9.597,0.913,879.603,1,269.765
07:47:21.999,1781160441.999,2026-06-11T07:47:21.999+0100,9.514,0.915,882.726,1,270.765
07:47:22.999,1781160442.999,2026-06-11T07:47:22.999+0100,9.368,0.919,886.265,1,271.765
07:47:23.999,1781160443.999,2026-06-11T07:47:23.999+0100,9.162,0.925,889.852,1,272.765
07:47:24.999,1781160444.999,2026-06-11T07:47:24.999+0100,8.900,0.935,893.267,1,273.765
